{'Ggid': 'GGID_マルス', 'Level': '', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '', 'AptitudeCostSword': '', 'AptitudeCostLance': '', 'AptitudeCostAxe': '', 'AptitudeCostBow': '', 'AptitudeCostDagger': '', 'AptitudeCostMagic': '', 'AptitudeCostRod': '', 'AptitudeCostFist': '', 'AptitudeCostSpecial': '', 'Flag': '0'}
{'Ggid': '', 'Level': '11', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '2'}
{'Ggid': '', 'Level': '12', 'InheritanceSkills': 'SID_不屈＋;', 'SynchroSkills': 'SID_不屈＋;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '13', 'InheritanceSkills': 'SID_剣術・柔４;', 'SynchroSkills': 'SID_速さ＋３;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '14', 'InheritanceSkills': 'SID_回避＋２５;', 'SynchroSkills': 'SID_力＋３;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '15', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': 'IID_マルス_ファルシオン;', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '16', 'InheritanceSkills': 'SID_見切り＋;', 'SynchroSkills': 'SID_見切り＋;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '17', 'InheritanceSkills': 'SID_剣術・柔５;', 'SynchroSkills': 'SID_技＋４;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '18', 'InheritanceSkills': 'SID_不屈＋＋;', 'SynchroSkills': 'SID_不屈＋＋;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '19', 'InheritanceSkills': 'SID_回避＋３０;', 'SynchroSkills': 'SID_速さ＋４;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '20', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '4'}
{'Ggid': 'GGID_シグルド', 'Level': '', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '', 'AptitudeCostSword': '', 'AptitudeCostLance': '', 'AptitudeCostAxe': '', 'AptitudeCostBow': '', 'AptitudeCostDagger': '', 'AptitudeCostMagic': '', 'AptitudeCostRod': '', 'AptitudeCostFist': '', 'AptitudeCostSpecial': '', 'Flag': '0'}
{'Ggid': '', 'Level': '1', 'InheritanceSkills': 'SID_再移動;SID_命中＋１０;', 'SynchroSkills': 'SID_再移動;SID_技＋１;SID_守備＋１;SID_体格＋１;SID_移動＋１;SID_ロプトウス特効;', 'EngageSkills': 'SID_迅走;SID_敵エンゲージ技ダメージ軽減;', 'EngageItems': 'IID_シグルド_ナイトキラー;', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '2', 'InheritanceSkills': 'SID_槍術・剛１;', 'SynchroSkills': 'SID_守備＋２;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '3', 'InheritanceSkills': 'SID_助走;', 'SynchroSkills': 'SID_助走;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
